,いらいら,うきうき,うじゃうじゃ,うとうと,おいおい,おろおろ,かたかた,からから,かりかり,きらきら,ぎこぎこ,ぎりぎり,くしゃくしゃ,くすくす,くよくよ,くるくる,くんくん,ぐずぐず,ぐちゃぐちゃ,ぐらぐら,ぐりぐり,ぐるぐる,げらげら,こつこつ,こてこて,ころころ,こんこん,ごつごつ,さやさや,さらさら,さわさわ,ざらざら,しとしと,じくじく,じりじり,じわじわ,すくすく,すらすら,するする,すれすれ,ずきずき,せかせか,そよそよ,そろそろ,だらだら,ちゅんちゅん,ちらちら,つんつん,てくてく,でんでん,とげとげ,とことこ,とろとろ,とんとん,どきどき,どろどろ,どんどん,にこにこ,にやにや,ぬくぬく,のそのそ,はらはら,ばかばか,ばたばた,ばらばら,ぱくぱく,ぱたぱた,ぱちぱち,ぱらぱら,ひしひし,ひゅるひゅる,ひょろひょろ,ひらひら,びくびく,びしょびしょ,びりびり,ぴーぴー,ふかふか,ふらふら,ふわふわ,ふわりふわり,ぶすぶす,ぶらぶら,ぶるぶる,ぶんぶん,ぷんぷん,へらへら,ぺんぺん,ぼやぼや,ぼりぼり,ぼろぼろ,ぽかぽか,ぽこぽこ,ぽたぽた,ぽつぽつ,ぽつんぽつん,ぽろぽろ,ぽんぽん,めらめら,もぐもぐ,もじもじ,もぞもぞ,もやもや,ゆらゆら,よちよち,よぼよぼ,よれよれ,りーんりーん,わくわく,わさわさ,わんわん
N0947EIline_info_n,['｜模夜《もや》はここ数日、仕事のことでもやもやした気持ちを拭えないでいた。今日はそこにいらいらも加わり最悪だった。もう残業なんてやってられない。逃げるように職場をあとにした。さあどこへ行こう。家にはまっすぐ帰りたくない。とりあえず最寄り駅に向かった。誰かに愚痴りたい。模夜は友人のごりらの｜亜夢《あむ》にめっせーじを送った。亜夢からすぐさま返信が来た。「桃ぱふぇ食べよう」\n'],,,,,,,['からからと北風が憂いをすくい 路頭に隠した\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['だらだらだら\n'],,,,,,,,,,['どきどきの落差が激しすぎて\n'],,['どんどん醜くなってゆく\n'],,,,,,['深淵に入るとかばかばかしい\n'],,,,,,,,,,,,,,,,,,,,,,,['ぷんぷんぷん\n'],,,,['ぼりぼりぼり\n'],['ぼろぼろのかすをならべては ほくそえんでいた\n'],,,,,,,,,,,,['｜模夜《もや》はここ数日、仕事のことでもやもやした気持ちを拭えないでいた。今日はそこにいらいらも加わり最悪だった。もう残業なんてやってられない。逃げるように職場をあとにした。さあどこへ行こう。家にはまっすぐ帰りたくない。とりあえず最寄り駅に向かった。誰かに愚痴りたい。模夜は友人のごりらの｜亜夢《あむ》にめっせーじを送った。亜夢からすぐさま返信が来た。「桃ぱふぇ食べよう」\n'],,,,,,,,"['［＃中見出し］わんわん［＃中見出し終わり］\n', 'かれーの匂いが漂う店内。今日の日替わりらんちはべじたぶるかれーだ。言っておくが、ここは、かの有名なわたしの店「ごりらかふぇ」ではない。わたしの店は真夜中にしか営業しないってのは知ってるだろう？ここはわたしの友人の店「わんわんかふぇ」である。仕事帰りの早朝、この店にふらっと寄ったところ、何故か厨房に入り、かれーを大量に作ってしまった。仕方がないのでこの店のらんちに出してもらうことになった。ふるーつもたっぷり入ったべじたぶるかれーには、なんまたはらいす、さらだとちきん、それにらっしーがついて八百五十円。なんとらいすはお替り自由。めにゅーは日替わりらんちのみだが、平日の昼間の店内は美しいまだむやすーつ姿の紳士たちで賑わっている。いつもは、わんわんが一人で必死に切り盛りしているが今日はわたしが手伝っているのでさぞかし楽だったと思う。大量にあったかれーも完売してらんちは終了。わんわん特製のぐりーんすむーじーを飲みながら他愛もない話をしていたらわたしの携帯が鳴った。ごりらの亜夢からだった。彼女は「ごりらかふぇ」のうえいとれすだ。どうやら風邪で熱を出したらしい。仕事を休ませてほしいそうだ。うほっ、今夜は忙しくなるなぁ。一眠りして仕事頑張るぞと思いっきり胸を叩いてどらみんぐをしていたら、客の視線が一気にわたしに注がれた。わたしは徐ろに葉巻をくわえて遠くを見つめた。わんわんが頭を撫でてくれた。とても気持ちよくなって、わたしは眠りに誘われた。\n', 'かれーの匂いが漂う店内。今日の日替わりらんちはべじたぶるかれーだ。言っておくが、ここは、かの有名なわたしの店「ごりらかふぇ」ではない。わたしの店は真夜中にしか営業しないってのは知ってるだろう？ここはわたしの友人の店「わんわんかふぇ」である。仕事帰りの早朝、この店にふらっと寄ったところ、何故か厨房に入り、かれーを大量に作ってしまった。仕方がないのでこの店のらんちに出してもらうことになった。ふるーつもたっぷり入ったべじたぶるかれーには、なんまたはらいす、さらだとちきん、それにらっしーがついて八百五十円。なんとらいすはお替り自由。めにゅーは日替わりらんちのみだが、平日の昼間の店内は美しいまだむやすーつ姿の紳士たちで賑わっている。いつもは、わんわんが一人で必死に切り盛りしているが今日はわたしが手伝っているのでさぞかし楽だったと思う。大量にあったかれーも完売してらんちは終了。わんわん特製のぐりーんすむーじーを飲みながら他愛もない話をしていたらわたしの携帯が鳴った。ごりらの亜夢からだった。彼女は「ごりらかふぇ」のうえいとれすだ。どうやら風邪で熱を出したらしい。仕事を休ませてほしいそうだ。うほっ、今夜は忙しくなるなぁ。一眠りして仕事頑張るぞと思いっきり胸を叩いてどらみんぐをしていたら、客の視線が一気にわたしに注がれた。わたしは徐ろに葉巻をくわえて遠くを見つめた。わんわんが頭を撫でてくれた。とても気持ちよくなって、わたしは眠りに誘われた。\n', 'かれーの匂いが漂う店内。今日の日替わりらんちはべじたぶるかれーだ。言っておくが、ここは、かの有名なわたしの店「ごりらかふぇ」ではない。わたしの店は真夜中にしか営業しないってのは知ってるだろう？ここはわたしの友人の店「わんわんかふぇ」である。仕事帰りの早朝、この店にふらっと寄ったところ、何故か厨房に入り、かれーを大量に作ってしまった。仕方がないのでこの店のらんちに出してもらうことになった。ふるーつもたっぷり入ったべじたぶるかれーには、なんまたはらいす、さらだとちきん、それにらっしーがついて八百五十円。なんとらいすはお替り自由。めにゅーは日替わりらんちのみだが、平日の昼間の店内は美しいまだむやすーつ姿の紳士たちで賑わっている。いつもは、わんわんが一人で必死に切り盛りしているが今日はわたしが手伝っているのでさぞかし楽だったと思う。大量にあったかれーも完売してらんちは終了。わんわん特製のぐりーんすむーじーを飲みながら他愛もない話をしていたらわたしの携帯が鳴った。ごりらの亜夢からだった。彼女は「ごりらかふぇ」のうえいとれすだ。どうやら風邪で熱を出したらしい。仕事を休ませてほしいそうだ。うほっ、今夜は忙しくなるなぁ。一眠りして仕事頑張るぞと思いっきり胸を叩いてどらみんぐをしていたら、客の視線が一気にわたしに注がれた。わたしは徐ろに葉巻をくわえて遠くを見つめた。わんわんが頭を撫でてくれた。とても気持ちよくなって、わたしは眠りに誘われた。\n', 'かれーの匂いが漂う店内。今日の日替わりらんちはべじたぶるかれーだ。言っておくが、ここは、かの有名なわたしの店「ごりらかふぇ」ではない。わたしの店は真夜中にしか営業しないってのは知ってるだろう？ここはわたしの友人の店「わんわんかふぇ」である。仕事帰りの早朝、この店にふらっと寄ったところ、何故か厨房に入り、かれーを大量に作ってしまった。仕方がないのでこの店のらんちに出してもらうことになった。ふるーつもたっぷり入ったべじたぶるかれーには、なんまたはらいす、さらだとちきん、それにらっしーがついて八百五十円。なんとらいすはお替り自由。めにゅーは日替わりらんちのみだが、平日の昼間の店内は美しいまだむやすーつ姿の紳士たちで賑わっている。いつもは、わんわんが一人で必死に切り盛りしているが今日はわたしが手伝っているのでさぞかし楽だったと思う。大量にあったかれーも完売してらんちは終了。わんわん特製のぐりーんすむーじーを飲みながら他愛もない話をしていたらわたしの携帯が鳴った。ごりらの亜夢からだった。彼女は「ごりらかふぇ」のうえいとれすだ。どうやら風邪で熱を出したらしい。仕事を休ませてほしいそうだ。うほっ、今夜は忙しくなるなぁ。一眠りして仕事頑張るぞと思いっきり胸を叩いてどらみんぐをしていたら、客の視線が一気にわたしに注がれた。わたしは徐ろに葉巻をくわえて遠くを見つめた。わんわんが頭を撫でてくれた。とても気持ちよくなって、わたしは眠りに誘われた。\n', 'ようこそ、ごりらかふぇへ。今日のおすすめはわんわんが焼いてくれたぱんぷきんぱいだぜ。\n']"
N3349ERline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['花びらが「ふわぁ～」と舞散り季節外れの粉雪みたいに、ぴんくの花びらが雪のようにひらひら舞い降りてくる'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6301EGline_info_n,,['金曜日の放課後は\u3000何だかうきうき'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1642EVline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000小説を読んでどきどきしたことがありますね？\u3000はい、小説が書けます。'],,,,,,,,,,['\u3000どんだけばらばらな言葉の羅列でも、まず書いてみよう！'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000小説を読んでわくわくしたことがありますね？\u3000はい、小説が書けます。'],,
N1771ERline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['遊ぶ時には\u3000ちゅんちゅんと'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['暇な時には\u3000ぴーぴーと'],,,,,,,,,,,,,,,,,,,,,,,['木の実食べるよ\u3000もぐもぐと'],,,,,,,,,,,
N0658ETline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000踏みながら歩く。じわじわと後ろからの圧を感じて。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000ひらりひらひら。\n'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['\u3000透明の玻璃の切子細工、ゆらゆら揺れる水がある。\n'],,,,,,,
N6828EXline_info_n,,,,,,,,,,,,,,,,,,['\u3000私たち二人ぐずぐずに溶け合う。'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1804EGline_info_n,,,,,,,,,,"['夕暮れの海ってなんかきらきらしていて素敵♪\n', '｜碧《あお》に溶けてゆくきらきら\n', '\u3000｜碧《あお》に溶けてゆくきらきらを眺めながら、そっと寄り添ってみた。\n', 'きらきら輝いてる\n', 'きらきらきらきら輝いて\n', 'きらきらきらきら輝いて\n']",,,,,"['くよくよしていたって\u3000時間は進んでゆく\n', '小さいことにくよくよしてみたり\n']","['くるくる舞う風に\n', 'くるくる回す万華鏡\n', 'くるくるくるくる\n', 'くるくるくるくる\n', 'くるくるくるくる\n', 'くるくるくるくる\n', 'くるくるくるくる\n', 'くるくるくるくる\n']",,,,,,['ぐるぐる渦巻いているのは\u3000なぜ\n'],,,,"['ころころと笑う声色も\n', 'ころころ変わる表情も\n']",,,,['さらさらと溶けてゆく\n'],,,,,,,,,,,,['せかせかして見失っているから\n'],,"['そろそろ\u3000さよならの時間\n', 'そろそろ帰ろうか\n', 'そろそろ本気出してみるとするか\n']",,,,,,,"['とげとげしている\n', 'とげとげしている\n', 'とげとげしている\n', '本当はとげとげなんか\n']",,,,"['どきどき感を連れてくる\n', 'どきどき感が募ってきたけど\n', 'いつもどきどきしてた\n', '皆さまに【甘酸っぱい青春】を感じていただけたか、どきどきです。\n', '［＃中見出し］\u3000【６６】\u3000どきどきが止まらない！［＃中見出し終わり］\n', '今日食べたちょこれーとけーきに洋酒が入っていて、あるこーるに弱い私は、それだけでどきどきして……このしちゅえーしょんが浮かびました。\n', 'どきどきしながら教科書を\n', 'どきどきしながら背中向け\n', 'どきどきしながら聞いてみる\n', 'よけいにどきどきするわたし\n', 'どきどきが止まらない\n', '［＃中見出し］\u3000【８８】\u3000息切れとどきどき［＃中見出し終わり］\n', '主人公のどきどきを感じていただければと……。\n', '息切れとどきどき\n', '息切れとどきどき\n']",,['どんどん遠くなるばかり\n'],,,['ほっとろぬくぬく\n'],,['はらはらと｜落涙《らくるい》す\n'],,,,,,,,,['ひゅるひゅると鳴る｜風音《かざおと》が\n'],,['ひらひらと\u3000舞い降りてきた\n'],,,,,,,"['ふわふわと\n', 'ふわふわと\n', 'しゃぼん玉がふわふわと\n']",,,,,,,['へらへらしてるけど\n'],,"['ぼやぼやしている間に\u3000誰かが虹を掴み取った\n', '雨上がりに虹を見つけた時は、誰でも皆笑顔になりますよね。そして、「かめら、かめら！」なんて言ってる間に、だんだんと薄くなって消えちゃうんですよね。ぼやぼやしている間にね。でも、友人はさっとすまほを出して綺麗な１枚を手に入れてたりして…。それをちょっと思い浮かべながら、書いてみました。\n']",,,,,,,,['びーずの涙がぽろぽろと\n'],,,,,,"['もやもやさせているかも\n', '２人の間のもやもや\n', 'もやもやしていた\n']","['ゆらゆらと\n', 'ゆらゆらと\n']",,,,,,,
N3031EDline_info_n,,,,,,,,,,"['きらきらでやらかいひかり\n', 'きらきらと\n', 'きらきらと\n', 'きらきらのあとはまっさらになって\n']",,['そのぎりぎりまでとんで\n'],,,,,,,,,,"['ぐるぐるぐるぐるまぜてまぜて\n', 'ぐるぐるぐるぐるまぜてまぜて\n']",,,,,,['ごつごつで\n'],,,,,,,['じりじりしちゃう\n'],,,,,['じめんすれすれをとぶの\n'],,,,,,,"['ちらちらと\n', 'ちらちらと\n']",,,,['とげとげあるんだった\n'],,,,"['なにをしてもどきどきしなくなってて\n', 'どきどきばれちゃうかな\n']",,"['どんどんみちがとおくにとおくに\n', 'わたしはどんどんたかく\n', 'どんどんちかづくじめん\n']",['にこにこなみらいをゆめみてますし\n'],,,,,,,"['ばらばらになるのがこわいから\n', '［＃中見出し］いばらばら［＃中見出し終わり］\n', 'いばらばら\n']",,,['ぱちぱちとおとのする\n'],,,,,,,,,,,,,,,,,,,,,,,,['ぽかぽかとあかるく\n'],,['うえからぽたぽたしずくでぬれるくつ\n'],,,,['そしたらきみのかたをね\u3000ぽんぽんしてあげるんだ\n'],,,,,,"['ゆらゆらとたちのぼる\n', 'ゆらゆらとゆげがそらのぼってゆく\n']",,,,,,,
N2289ETline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,"['こんこんこんこん', 'こんこんこんこん', 'こんこんこんこん', 'こんこんこんこん']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4110EVline_info_n,,,,,,,,,,,,,,,,,,,,['お湯さん\u3000お鍋で\u3000ぐらぐらぐら'],,,,,,['まん丸\u3000まん丸\u3000ころころころ'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4995EJline_info_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['隆盛を誇った緑が色づき 時にはらはらと舞い踊り\u3000流れるように落ちてゆくよ'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['ゆらゆら漂う船はゆき先も知らず'],,,,,,,
